,org_id,endpoint_id,status,current,date_time,Churn_status
5060,160090,59878592,3,1,2017-12-02,Churned
5061,160090,59878593,3,1,2017-12-02,Churned
15903,160090,59878650,3,1,2018-03-28,Churned
5062,160090,59878681,3,1,2017-12-02,Churned
6840,160090,59878685,3,1,2017-12-02,Churned
313,160090,59878688,3,1,2017-12-02,Churned
2436,160090,59878698,4,0,2018-01-11,Not Churned
2660,160090,59878711,3,1,2017-12-02,Churned
11348,160090,59878717,3,1,2017-12-02,Churned
3874,160090,59878744,3,1,2017-12-02,Churned
10015,160090,59878748,3,1,2017-12-02,Churned
1700,160090,59878749,3,1,2017-12-02,Churned
6841,160090,59878754,3,1,2017-12-02,Churned
314,160090,59881372,3,1,2017-12-02,Churned
5063,160090,59925871,3,1,2017-12-02,Churned
2661,160090,59951290,3,1,2017-12-02,Churned
8177,160090,59959881,3,1,2017-12-02,Churned
5586,160090,59967780,3,1,2018-03-29,Churned
315,160090,59983158,3,1,2017-12-02,Churned
2662,160090,59996465,3,1,2017-12-02,Churned
5064,160090,60022427,3,1,2017-12-02,Churned
10016,160090,60057998,3,1,2017-12-02,Churned
8178,160090,60062011,3,1,2017-12-02,Churned
8780,160090,60062824,3,1,2017-12-02,Churned
2663,160090,60126332,3,1,2017-12-02,Churned
1517,160090,60127370,3,1,2017-12-02,Churned
6842,160090,60132507,3,1,2017-12-02,Churned
25773,160090,60135224,3,1,2018-05-10,Churned
8179,160090,60139512,3,1,2017-12-02,Churned
2664,160090,60144067,3,1,2017-12-02,Churned
2665,160090,60144144,3,1,2017-12-02,Churned
11349,160090,60146706,3,1,2017-12-02,Churned
4757,160090,60146708,3,1,2017-12-02,Churned
2666,160090,60237438,3,1,2017-12-02,Churned
8180,160090,60245481,3,1,2017-12-02,Churned
11350,160090,60256391,3,1,2017-12-02,Churned
3875,160090,60256392,3,1,2017-12-02,Churned
5675,160090,60261334,3,1,2017-12-02,Churned
6642,160090,60263940,3,1,2018-04-26,Churned
316,160090,60267446,3,1,2017-12-02,Churned
3876,160090,60272386,3,1,2017-12-02,Churned
81130,160090,60302298,3,1,2017-12-02,Churned
27341,160090,60302377,3,1,2018-05-18,Churned
8781,160090,60360264,3,1,2017-12-02,Churned
8181,160090,60373432,3,1,2017-12-02,Churned
16094,160090,60388911,3,1,2018-04-02,Churned
3894,160090,60393842,3,1,2018-04-30,Churned
4758,160090,60399933,3,1,2017-12-02,Churned
9875,160090,60409415,4,0,2017-12-21,Not Churned
12160,160090,60413492,4,0,2018-02-06,Not Churned
34452,160090,60420229,4,0,2018-06-05,Not Churned
8783,160090,60420508,3,1,2017-12-02,Churned
